material,angle_deg,wavelength,n_total,n_def,n_und,mean_CNR_def,mean_CNR_und,delta_CNR,effect_size_d,auc_CNR,glare_def,glare_und,delta_sharpness,delta_entropy,rank_score
metal,45,red,2,1,1,114.24207319862002,47.72903785423178,66.51303534438824,,1.0,0.0,0.0,2087.09375,-0.1501727600762921,36.25651767219412
metal,0,blue,2,1,1,13.231281875422171,8.480407156662139,4.750874718760032,,1.0,0.0006985134548611,0.0010254305172589,2807.3203125,0.04915293791912401,5.375437359380016
metal,70,blue,2,1,1,10.532954607203216,8.933607694395972,1.5993469128072437,,1.0,5.784377553104575e-06,7.180606617647059e-06,153.046875,-0.0027189294398191066,3.799673456403622
metal,0,white,2,1,1,7.177531191461086,6.668138427263737,0.509392764197349,,1.0,0.0039142284517973,0.0041864931193831,1065.349609375,0.051390877781235744,3.2546963820986745
metal,45,blue,2,1,1,12.931193827523952,12.620422409466604,0.31077141805734776,,1.0,1.9946129493464053e-06,2.1940742442810456e-06,1239.015625,-0.01034625623879748,3.155385709028674
metal,70,green,2,1,1,6.753919470095652,6.578122278995504,0.17579719110014835,,1.0,8.377374387254903e-06,1.1169832516339869e-05,1175.921875,0.008147866836807793,3.087898595550074
metal,0,green,2,1,1,7.921138665559464,7.904054250378709,0.017084415180755208,,1.0,0.0013046763301674,0.0018683539496527,-2331.7734375,-0.011333692586068977,3.0085422075903776
metal,70,white,2,1,1,4.44991881673069,4.619170631275933,-0.16925181454524374,,0.0,5.445293351715687e-05,9.833441840277778e-05,910.185546875,0.001595137431454674,-0.08462590727262187
metal,45,white,2,1,1,8.35993705981474,8.617430344326097,-0.2574932845113569,,0.0,4.4479868770424834e-05,3.350949754901961e-05,606.693359375,-0.029992574817176987,-0.12874664225567845
metal,45,green,2,1,1,7.995104184977601,8.921414915652774,-0.9263107306751728,,0.0,2.1940742442810456e-06,2.991919424019608e-06,-126.19140625,-0.039115185181036516,-0.4631553653375864
metal,70,red,2,1,1,14.308670772419708,21.05944442648174,-6.750773654062032,,0.0,0.0,0.0,-903.609375,-0.05610874335136984,-3.375386827031016
